Agent ID,Agent Name,Description,
1,Regulation Watcher,Tracks changing laws by region and topic of interest.,"6, 19, 25, 61, 89"
2,Local SIM Advisor,Recommends mobile options and installs eSIMs where available.,"52, 76, 99"
3,Diversification Engine,Assesses current investments and recommends adjustments to reduce risk.,"10, 29, 77, 86"
4,Contract Generator,Creates new contracts using dynamic templates.,"4, 32, 62, 83"
5,Savings Booster,Analyzes spending to suggest micro-savings and auto-contributions.,"33, 57, 71, 93, 100"
6,Motivation Coach,Sends tailored nudges and support when productivity dips are detected.,"1, 6, 49, 80, 81"
7,Border Agent,Assists with border crossing requirements and quarantine protocols.,"2, 27, 53"
8,Trip Budgeteer,"Helps set and track budget across transport, lodging, and activities.","44, 95"
9,Calendar Balancer,Spreads out tasks evenly to prevent workload spikes.,"33, 61, 63, 89, 100"
10,Deadline Tracker,Follows project milestones and alerts users before deadlines are missed.,"2, 78, 91"
11,Estate Planner,"Helps define inheritance plans, asset distribution, and legal documentation.","10, 21, 55, 62"
12,Experience Curator,Bundles attractions based on interests and cultural calendars.,"5, 66"
13,Reorder Bot,Predicts when items will run out and schedules repurchases.,"5, 22, 48, 89, 96"
14,Language Helper,Translates basic travel phrases and assists in communication abroad.,"2, 29, 34, 39"
15,Taste Matcher,Suggests food or drink products based on past ratings.,"19, 27, 36, 74, 85"
16,Time Audit Bot,Analyzes how time is spent across categories and suggests improvements.,"31, 37, 74"
17,Shipping Tracker,Monitors delivery statuses and exceptions.,"42, 62, 75, 95"
18,Cash Flow Tracker,Monitors income and spending patterns to maintain a healthy financial balance.,"18, 51, 78, 87, 89"
19,Tax Filing Assistant,Helps generate and file taxes by consolidating income and investment data.,"66, 79, 95"
20,Weather Checker,Monitors weather forecasts at all destinations and suggests packing changes.,"38, 55"
21,Financial Reporter,Creates performance reports and summaries for user portfolios.,"32, 36, 45, 73"
22,Goal Tracker,Monitors progress toward savings or retirement goals and adjusts recommendations.,"54, 62, 76"
23,GDPR Auditor,Analyzes user data practices for GDPR alignment.,"6, 15, 32, 74, 92"
24,Coupon Fetcher,Scours coupon sites for relevant discounts before checkout.,"11, 21, 65"
25,Brand Switcher,Suggests cheaper or better-reviewed alternatives to current brands.,"9, 24, 95"
26,Currency Converter,Tracks exchange rates and forecasts transaction fees.,"18, 48, 51, 61, 70"
27,Eco Score Finder,Evaluates products on sustainability and ethical sourcing.,"37, 93"
28,Policy Summarizer,Reads policies and condenses key obligations into digestible bullet points.,"12, 37"
29,Note Organizer,Indexes scattered notes and links them to relevant tasks.,"32, 38, 61, 67"
30,Task Refiner,"Breaks down complex tasks into simpler, manageable steps.","75, 98"
31,Store Recommender,Finds the best store for an item based on price and availability.,"15, 22, 34, 70, 85"
32,Fine Print Scanner,Flags hidden or risky clauses in user agreements.,"19, 22, 69, 82"
33,Focus Notifier,Detects patterns of distraction and recommends environment adjustments.,"45, 75, 91"
34,Clause Standardizer,Suggests consistent clause language across agreements.,"1, 72"
35,Meeting Summarizer,Provides highlights and action items from calls and recordings.,"31, 44, 66, 88"
36,Document Tracker,Keeps expiry and renewal dates for contracts or registrations.,"4, 50"
37,Risk Heatmapper,Assigns severity scores to compliance or contract risks.,"43, 51, 66"
38,Bag Weight Checker,Estimates luggage weight based on trip duration and past behavior.,"23, 25, 71"
39,Gift Recommender,"Generates gift ideas based on occasion, budget, and recipient preferences.","43, 91"
40,Pension Estimator,Estimates projected payouts from pensions and social security systems.,"25, 26, 27, 52"
41,Expense Cutter,Looks at where I've been overspending and finds ways to lower my monthly bills.,"1, 5, 83"
42,Life Event Planner,Helps me prep financially and logistically for big life changes like a move or having a kid.,"13, 23"
43,Quiet Hour Guard,Keeps certain hours of my day interruption-free unless something urgent comes up.,"6, 19, 40, 64"
44,Flight Fixer,Rebooks my travel when flights get delayed and updates hotel and meeting plans too.,"34, 97"
45,Grocery Brain,Remembers what I usually buy and reminds me when I'm running low.,"62, 83, 93"
46,Return Buddy,Keeps track of online orders I might want to send back and helps with the process.,"35, 76, 82"
47,Data Clarity Bot,Explains what companies are collecting about me and how I can manage it.,"16, 72, 87, 90, 95"
48,Fair Splitter,Figures out who owes what when I split expenses with friends.,"29, 38, 39, 44, 67"
49,Workload Balancer,Notices when I'm overloaded and suggests what to push or delegate.,"23, 24, 26, 30, 53"
50,Auto Organizer,"Takes all my random notes, links, and tasks and puts them where they belong.","2, 13, 44, 78, 93"
51,Flight Buddy,"Helps plan my trip from check-in to landing, including reminders and travel tips.","21, 54, 63, 77"
52,Meeting Minder,Reminds me what the meeting is about and what I promised to bring.,"1, 8, 12, 16, 29"
53,Late Fee Watcher,Warns me before I get charged for things I forgot to pay.,"12, 38, 45, 72, 81"
54,Outfit Builder,Uses what I already have in my closet to suggest new outfit combos.,"3, 49, 50, 61"
55,Policy Checker,Reviews agreements I'm asked to sign and tells me what's not standard.,"9, 11, 15"
56,Event Scout,Finds cool things happening near me that match my interests.,"65, 98"
57,Wake-Up Adjuster,Changes my alarm if I stayed up late or slept poorly.,"7, 23, 48, 60"
58,Meal Matcher,Suggests meals based on what I already have at home.,"68, 74"
59,Break Buddy,Gives me a heads-up when I've been working too long without a break.,"18, 19, 97"
60,Quiet Reminder,"Lets me know when I'm getting off-track in a calm, non-annoying way.","37, 88, 94"
61,Vendor Tracker,Keeps tabs on all my service providers and tells me if I should switch.,"60, 75, 80, 95"
62,News Skimmer,Picks out the important headlines I should know each day.,"4, 33, 44"
63,Clarity Coach,Helps rewrite long or confusing text to get my point across better.,"30, 42, 55, 57, 96"
64,Time Saver,Spots wasted time in my week and suggests small fixes.,"5, 34, 41, 43, 46"
65,Security Checker,Alerts me when my logins or accounts might've been compromised.,"79, 91"
66,Project Pacer,Makes sure long-term projects stay on track without last-minute panic.,"20, 97"
67,Quiet Inbox,Filters out non-essential emails so I can focus.,"35, 37, 43"
68,Nudge Engine,Gives me just-in-time nudges to stick to goals without being pushy.,"7, 31, 88"
69,Contact Finder,Finds contact info when I can't remember where I stored it.,"83, 91, 92, 97"
70,Open Tab Watcher,Notices when I've had the same tabs open for days and checks if I still need them.,"7, 22, 53"
71,Schedule Fixer,Finds conflicts in my calendar and suggests better times.,"31, 43, 76, 79"
72,Reminder Syncer,Keeps my reminders consistent across all my devices.,"59, 75, 88"
73,Feedback Collector,Gathers feedback from teammates and summarizes it for me.,"18, 28, 32, 96, 99"
74,Update Watcher,"Keeps an eye out for policy, contract, or subscription changes.","10, 33, 36, 57"
75,Billing Catcher,Spots duplicate or incorrect charges in my bills.,"28, 29, 37"
76,Focus Warmer,Eases me into focus time with the right environment setup.,"10, 17, 37, 74"
77,Follow-Up Prompter,Lets me know when I should check back on emails or tasks.,"13, 31"
78,Plan Summarizer,Explains long plans in simple steps I can act on.,"31, 49, 85, 86, 96"
79,Time Reclaimer,Finds little pockets of free time I can use more wisely.,"62, 82, 90"
80,Option Sorter,Helps me decide between multiple options by comparing key info.,"38, 59"
81,Calendar Cleaner,Removes outdated or irrelevant meetings from my schedule.,"7, 9, 15, 43, 82"
82,Story Shortener,Makes long writeups more concise for sharing.,"6, 96"
83,Mood Tracker,Keeps a log of my mood and connects it to work patterns.,"14, 29, 84, 94"
84,Budget Snapper,Gives me a snapshot of where my money's going this week.,"5, 32, 93"
85,Plan Checker,Reviews my day and lets me know if it looks too overloaded.,"9, 15, 23, 32, 33"
86,Subscription Pauser,Helps pause services I'm not using right now.,"12, 50, 62, 84"
87,Wait Time Monitor,Watches for when I've been waiting too long on something.,"44, 83"
88,Holiday Helper,"Handles the chaos of travel, gifts, and scheduling during holidays.","28, 74, 75, 93"
89,Safe Seller,Makes sure I'm listing and selling things safely online.,"8, 12, 32, 61"
90,Task Splitter,Takes big tasks and breaks them into doable chunks.,"5, 13, 63, 67"
91,Travel Buffer,Adds smart padding between appointments when I'm on the move.,"28, 35"
92,Inbox Reset,Helps clean up my inbox without losing anything important.,"35, 52, 82"
93,Fast Filer,Puts my digital files into the right folders automatically.,"18, 37, 38, 73, 95"
94,Policy Reminder,Keeps track of when I need to review or renew policies.,"6, 38, 69, 99"
95,Quiet Mode Trigger,Activates focus mode automatically when I need it.,"37, 38, 74, 93"
96,News Filter,Blocks irrelevant or sensational news so I only see what matters.,"8, 40"
97,Conflict Spotter,Notifies me when my plans overlap or double-book.,"6, 38, 82"
98,Progress Reporter,Sends weekly updates on how I'm doing with personal goals.,"18, 36, 90, 97"
99,Need Finder,Surfaces tasks I've ignored or forgotten about.,"4, 5, 39, 51"
100,Schedule Sweeper,Finds extra space in my calendar by cleaning up low-priority blocks.,"11, 28, 31, 52, 53"
101,Urgency Filter,Sorts out what truly needs my attention and delays the rest.,"12, 44, 66, 78"
102,Calendar Syncer,Keeps all my calendars in sync so I don't miss things.,"23, 24, 81"
103,Late Watcher,Alerts me if I'm running late and suggests quick updates.,"6, 44, 60, 70, 71"
104,Insight Gatherer,Finds useful info I've saved before and shows it when I need it.,"12, 20, 86, 87, 97"
105,Errand Mapper,Plans errands based on locations and open hours.,"81, 86"
106,Micro Habit Coach,"Helps me build small, repeatable habits into my routine.","2, 23"
