ID,Domain,Description
1,Wealth Management,"I have money sitting in a few savings and retirement accounts, and I'm not sure what to do with it. I'd like help figuring out how to grow it without watching the market every day."
2,Wealth Management,We have a new baby and want to make sure we're saving for college and not missing better options. I'd love something that tracks our progress and adjusts if our budget changes.
3,Wealth Management,I recently inherited some money and feel nervous about investing it. I want something that can guide me through a smart plan and make updates as things change.
4,Wealth Management,I feel like we're paying too much in taxes every year. Is there a better way to set things up so we're not losing so much to the IRS?
5,Wealth Management,I want to start giving money to charity regularly but also want it to be tax-efficient. It'd be great if something could help with both the donations and paperwork.
6,Wealth Management,I'm self-employed and don't have a retirement plan. I need help setting one up and making sure I don't fall behind.
7,Wealth Management,"I'd like to invest more sustainably, but I don't know where to start. I want to avoid certain industries and still grow my money."
8,Wealth Management,"I have multiple investment accounts with different companies, and it's hard to keep track. I want a single place to manage and update them when needed."
9,Wealth Management,I'm getting close to retirement and worried about running out of money. I'd like to see a plan that adjusts if I spend more or if the market drops.
10,Wealth Management,I travel between countries a lot and have income in different currencies. I want help managing this without overcomplicating things.
11,Wealth Management,I've been putting off making a will or estate plan. It would help to have something that guides me through it and updates over time.
12,Wealth Management,I want to make sure my kids inherit everything smoothly. I'm not sure what the right steps are legally or financially.
13,Wealth Management,I'm worried I'm not saving enough for healthcare later in life. I need something that helps estimate costs and builds a buffer.
14,Wealth Management,We want to buy a vacation home but don't know how that affects our long-term plan. I'd like help running scenarios and managing the mortgage.
15,Wealth Management,My partner and I have different risk tolerances. I want a shared plan that makes sense for both of us and adjusts as needed.
16,Wealth Management,I'm planning to move to another country in a few years. I want to make sure my finances are set up right before I go.
17,Wealth Management,I'm in my 30s and feel behind on saving. I want something that helps me catch up without taking huge risks.
18,Wealth Management,I'm part of a startup with equity options. I need help understanding how and when to exercise them.
19,Wealth Management,I want to track my financial progress but I don't know what metrics really matter. Something that keeps me informed and alerts me to problems would be amazing.
20,Wealth Management,"I'd like to set up automatic contributions for different goals—like a house, travel, and retirement—and make sure I'm not overspending elsewhere."
21,Personal Productivity,I work from home and constantly get distracted. I want help staying focused and organizing my time better throughout the day.
22,Personal Productivity,My to-do list keeps growing but nothing gets finished. I'd love something that helps me prioritize and actually follow through.
23,Personal Productivity,"I've tried productivity apps before, but I always stop using them. I need something that adapts to how I work, not the other way around."
24,Personal Productivity,My meetings run over and eat into my deep work time. I need help creating space in my calendar and protecting it.
25,Personal Productivity,I feel burnt out but don't know why. I want something to help me figure out what's draining my energy and suggest small changes.
26,Personal Productivity,"My calendar is a mess—double bookings, overlapping tasks, and no time for breaks. I want a system that cleans it up and adjusts when needed."
27,Personal Productivity,I tend to overcommit and don't realize it until it's too late. I'd like help catching that earlier and rescheduling things.
28,Personal Productivity,I'm constantly switching contexts and lose momentum. I need something that groups similar work and minimizes interruptions.
29,Personal Productivity,I often forget to follow up with people. I wish there was a way to track this automatically and get reminders when it matters.
